,country,ccode,verified,year,month,day,source,mcgowan,csp,bs,banks,moreno,finer,janowitz,kennedy,ferguson,okane,thompson,luttwak,lunde,world_hand,combined,no_evidence,rebellion,no_overt,legal,no_exec,protest,autogolpe,assasination,invasion,unclear,id
1797,Yemen Arab Republic; N. Yemen,678,,1962,10,31,"New York Times. Nov 1, 1962",,,,,,,,,,,,,,2,0,0,0,0,1,0,0,0,0,0,0,1797
1818,Yemen,679,,1962,-9,-9,"New York Times. Sep 28, 1962",,,,2,,2,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1818
1819,Yemen,679,,1962,9,-9,"New York Times. Sep 28, 1962",,,,,,,2,2,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1819
1820,Yemen,679,,1962,9,26,"New York Times. Sep 28, 1962",,,,,,,,,,,2,,,,1,0,0,0,0,0,0,0,0,0,0,1820
1902,South Korea,732,,1962,-9,-9,"New York Times. Jul 15, 1962",,,,,,,,,,,,2,,,1,0,0,0,0,0,0,0,0,0,0,1902
1903,South Korea,732,,1962,6,-9,"New York Times. Jul 15, 1962",,,,,,,,1,,,,2,,,0,0,0,1,0,0,0,0,0,0,0,1903
1950,Myanmar,775,,1962,-9,-9,"New York Times. Mar 2, 1962",,,2,2,,2,,,2,2,,,,,1,0,0,0,0,0,0,0,0,0,0,1950
1951,Myanmar,775,,1962,3,-9,"New York Times. Mar 2, 1962",,,,,,,2,2,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1951
1952,Myanmar,775,2,1962,3,2,"New York Times. Mar 2, 1962",,2,2,2,,2,2,2,2,2,2,2,,2,0,0,0,0,0,0,0,0,0,0,0,1952
1959,Sri Lanka,780,,1962,-9,-9,http://www.country-data.com/cgi-bin/query/r-13282.html,,,,,,,,,1,,,,,,1,0,0,0,0,0,0,0,0,0,0,1959
1960,Sri Lanka,780,,1962,1,-9,http://www.country-data.com/cgi-bin/query/r-13282.html,,,,,,,,1,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1960
1961,Sri Lanka,780,,1962,1,28,http://www.country-data.com/cgi-bin/query/r-13282.html,,,,,,,,1,1,,,1,,1,0,0,0,1,0,0,0,0,0,0,0,1961
2074,Republic of Vietnam,817,,1962,2,27,"New York Times. Feb 27, 1962",,,,,,,,,,,1,,,,0,0,0,0,0,1,0,0,0,0,0,2074
2095,Brunei,835,,1962,12,-9,New York Times. various,,,,,,,,1,,,,,,,0,0,1,0,0,0,0,0,0,0,0,2095
40,Haiti,41,,1963,-9,-9,"Sunday Times (London). Aug 7, 1963",,,1,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,40
41,Haiti,41,,1963,8,8,"New York Times. Aug 8, 1963",,,,,,,,,,,,,,1,0,0,1,0,0,0,0,0,0,0,0,41
80,Dominican Republic,42,,1963,-9,-9,"New York Times. Sep 26, 1963",,,2,2,1,2,,,2,2,,,,,1,0,0,0,0,0,0,0,0,0,0,80
81,Dominican Republic,42,,1963,9,-9,"New York Times. Sep 26, 1963",,,,,,,2,2,,,,,,,1,0,0,0,0,0,0,0,0,0,0,81
82,Dominican Republic,42,2,1963,9,25,"New York Times. Sep 26, 1963",,2,2,2,2,2,2,2,2,2,2,2,,2,0,0,0,0,0,0,0,0,0,0,0,82
83,Dominican Republic,42,,1963,9,26,"New York Times. Sep 26, 1963",,,,,,,,,,,,,,2,1,0,0,0,0,0,0,0,0,0,0,83
125,Guatemala,90,,1963,-9,-9,"New York Times. Apr 1, 1963",,,2,2,,2,,,2,2,,,,,1,0,0,0,0,0,0,0,0,0,0,125
126,Guatemala,90,,1963,3,-9,"New York Times. Apr 1, 1963",,,,,,,2,2,,,,,,,1,0,0,0,0,0,0,0,0,0,0,126
127,Guatemala,90,2,1963,3,30,"New York Times. Apr 1, 1963",,2,2,2,2,2,2,2,2,2,2,2,,2,0,0,0,0,0,0,0,0,0,0,0,127
128,Guatemala,90,,1963,4,1,"New York Times. Apr 1, 1963",,,,,,,,,,,,,,2,1,0,0,0,0,0,0,0,0,0,0,128
164,Honduras,91,,1963,-9,-9,unclear,,,2,2,,2,,,2,2,,,,,0,0,0,0,0,0,0,0,0,0,1,164
165,Honduras,91,,1963,3,30,none,,,,,,,,,,,,2,,,0,1,0,0,0,0,0,0,0,0,0,165
166,Honduras,91,,1963,10,-9,"New York Times. Oct 4, 1963",,,,,,,2,2,,,,,,,1,0,0,0,0,0,0,0,0,0,0,166
167,Honduras,91,2,1963,10,3,"New York Times. Oct 4, 1963",,2,2,2,2,2,2,2,2,,2,,,2,0,0,0,0,0,0,0,0,0,0,0,167
168,Honduras,91,,1963,10,4,"New York Times. Oct 4, 1963",,,,,,,,,,,,,,2,1,0,0,0,0,0,0,0,0,0,0,168
395,Ecuador,130,,1963,-9,-9,"New York Times. Jul 12, 1963",,,2,2,,2,,,2,2,,,,,1,0,0,0,0,0,0,0,0,0,0,395
396,Ecuador,130,,1963,7,-9,"New York Times. Jul 12, 1963",,,,,,,2,2,,,,,,,1,0,0,0,0,0,0,0,0,0,0,396
397,Ecuador,130,2,1963,7,11,"New York Times. Jul 12, 1963",,2,2,2,2,2,2,2,2,2,2,2,,2,0,0,0,0,0,0,0,0,0,0,0,397
398,Ecuador,130,,1963,7,12,"New York Times. Jul 12, 1963",,,,,,,,,,,,,,2,1,0,0,0,0,0,0,0,0,0,0,398
435,Peru,135,,1963,-9,-9,"New York Times (1857-Current file). Mar 4, 1963",,,2,,,2,,,2,,,,,,1,0,0,0,0,0,0,0,0,0,0,435
436,Peru,135,,1963,3,-9,"New York Times (1857-Current file). Mar 4, 1963",,,,,,,2,2,,,,,,,1,0,0,0,0,0,0,0,0,0,0,436
437,Peru,135,2,1963,3,3,"New York Times (1857-Current file). Mar 4, 1963",,2,2,,2,2,2,2,2,,2,2,,2,0,0,0,0,0,0,0,0,0,0,0,437
438,Peru,135,,1963,3,4,"New York Times (1857-Current file). Mar 4, 1963",,,,,,,,,,,,,,2,1,0,0,0,0,0,0,0,0,0,0,438
463,Brazil,140,1,1963,9,12,"New York Times. September 13, 1963.",,,,,,,,,,,1,,,,0,0,0,0,0,0,0,0,0,0,0,463
655,Argentina,160,,1963,-9,-9,unclear,,,1,,,,,,1,,,,,,0,0,0,0,0,0,0,0,0,0,1,655
656,Argentina,160,,1963,3,-9,none,,,,,,,,1,,,,,,,0,1,0,0,0,0,0,0,0,0,0,656
657,Argentina,160,,1963,4,-9,"New York Times. April 2-3, 1963",,,,,,,,1,,,,,,,1,0,0,0,0,0,0,0,0,0,0,657
658,Argentina,160,1,1963,4,2,"New York Times. April 2-3, 1963",,,,,1,,,1,,,,1,,1,0,0,0,0,0,0,0,0,0,0,0,658
659,Argentina,160,,1963,4,3,"New York Times. April 2-3, 1963",,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,659
819,Senegal,433,,1963,12,17,none,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,819
820,Benin,434,,1963,-9,-9,"New York Times. Oct 28, 1963",,,2,2,,2,,,2,2,,,,,1,0,0,0,0,0,0,0,0,0,0,820
821,Benin,434,,1963,10,-9,"New York Times. Oct 28, 1963",,,,,,,2,2,,,,,,,1,0,0,0,0,0,0,0,0,0,0,821
822,Benin,434,,1963,10,23,"New York Times. Oct 28, 1963",,,,,,,,,,,,,2,,1,0,0,0,0,0,0,0,0,0,0,822
823,Benin,434,2,1963,10,28,"New York Times. Oct 28, 1963",2,2,2,2,,2,2,2,2,2,2,,2,2,0,0,0,0,0,0,0,0,0,0,0,823
824,Benin,434,,1963,10,29,"New York Times. Oct 28, 1963",,,,,,,,,,,,,,2,1,0,0,0,0,0,0,0,0,0,0,824
825,Benin,434,,1963,12,-9,none,,,,,,,,1,,,,,,,0,1,0,0,0,0,0,0,0,0,0,825
906,Ivory Coast,437,,1963,1,-9,"New York Times. Jan 10, 16, 1963",,,,,,,,1,,,,,,,0,0,0,0,0,1,0,0,0,0,0,906
907,Ivory Coast,437,,1963,9,-9,"New York Times. Jan 10, 16, 1963",,,,,,,,1,,,,,,,0,0,0,0,0,1,0,0,0,0,0,907
961,Liberia,450,,1963,-9,-9,"New York Times. Feb 6, 1963",,,1,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,961
962,Liberia,450,,1963,2,-9,"New York Times. Feb 6, 1963",,,1,,,,,1,,,,,,,0,0,0,1,0,0,0,0,0,0,0,962
1056,Togo,461,,1963,-9,-9,"New York Times, Jan 14, 1963",,,2,,,2,,,2,2,,,,,1,0,0,0,0,0,0,0,0,0,0,1056
1057,Togo,461,,1963,1,-9,"New York Times, Jan 14, 1963",,,,,,,2,2,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1057
1058,Togo,461,2,1963,1,13,"New York Times, Jan 14, 1963",2,2,2,,,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1058
1059,Togo,461,,1963,1,14,"New York Times, Jan 14, 1963",,,,,,,,,,,,,,2,1,0,0,0,0,0,0,0,0,0,0,1059
1155,Chad,483,,1963,-9,-9,"http://www.country-studies.com/chad/tombalbaye-era,-1960-75.html",,,,,,,,1,,,,,,,0,0,0,0,0,0,1,0,0,0,0,1155
1191,Congo,484,,1963,-9,-9,"New York Times. Aug 16, 1963",,,2,2,,,,,2,,,,,,1,0,0,0,0,0,0,0,0,0,0,1191
1192,Congo,484,,1963,8,-9,"New York Times. Aug 16, 1963",,,,,,,,2,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1192
1193,Congo,484,,1963,8,12,"New York Times. Aug 16, 1963",,,,,,,,,,,,2,,,1,0,0,0,0,0,0,0,0,0,0,1193
1194,Congo,484,2,1963,8,15,"New York Times. Aug 16, 1963",2,2,2,2,,,,2,2,,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1194
1195,Congo,484,,1963,8,16,"New York Times. Aug 16, 1963",,,,,,,,,,,,,,2,1,0,0,0,0,0,0,0,0,0,0,1195
1236,Democratic Republic of the Congo,490,,1963,-9,-9,"New York Times. Sept 20, 1962",,,1,,,,,2,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1236
1237,Democratic Republic of the Congo,490,,1963,9,20,"New York Times. Sep 20, 1963",,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0,1237
1238,Democratic Republic of the Congo,490,,1963,11,19,"New York Times. Sept 20, 1962",1,,,,,,,2,,,,,1,,0,0,0,1,0,0,0,0,0,0,0,1238
1476,Morocco,600,,1963,7,-9,"New York Times. Jul 18, 1963",,,,,,,,1,,,,,,,0,0,0,0,0,0,0,1,0,0,0,1476
1495,Algeria,615,,1963,-9,-9,"New York Times. Sep 30, 1963",,,,,,1,,,1,,,,,,1,0,0,0,0,0,0,0,0,0,0,1495
1496,Algeria,615,,1963,9,-9,"New York Times. Sep 30, 1963",,,,,,1,,1,1,,,,,,0,0,0,1,0,0,0,0,0,0,0,1496
1609,Turkey,640,,1963,-9,-9,"New York Times. May 21, 1963",,,1,,,1,,,1,,,,,,1,0,0,0,0,0,0,0,0,0,0,1609
1610,Turkey,640,,1963,5,-9,"New York Times. May 21, 1963",,,,,,,,1,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1610
1611,Turkey,640,1,1963,5,20,"New York Times. May 21, 1963",,1,1,,,1,,1,1,,1,1,,1,0,0,0,0,0,0,0,0,0,0,0,1611
1612,Turkey,640,,1963,5,21,"New York Times. May 21, 1963",,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,1612
1633,Iraq,645,,1963,-9,-9,unclear,,,2,2,,2,,,2,2,,,,,0,0,0,0,0,0,0,0,0,0,1,1633
1634,Iraq,645,,1963,-9,-9,unclear,,,2,2,,1,,,2,2,,,,,0,0,0,0,0,0,0,0,0,0,1,1634
1635,Iraq,645,,1963,-9,-9,unclear,,,2,2,,2,,,1,2,,,,,0,0,0,0,0,0,0,0,0,0,1,1635
1636,Iraq,645,,1963,2,-9,"New York Times. Feb 9, 1963",,,,,,,2,2,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1636
1637,Iraq,645,2,1963,2,8,"New York Times. Feb 9, 1963",,2,,,,,2,2,,,2,2,,2,0,0,0,0,0,0,0,0,0,0,0,1637
1638,Iraq,645,,1963,2,9,"New York Times. Feb 9, 1963",,,,,,,,,,,,,,2,1,0,0,0,0,0,0,0,0,0,0,1638
1639,Iraq,645,,1963,5,27,none,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,1639
1640,Iraq,645,,1963,6,4,none,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,1640
1641,Iraq,645,,1963,7,-9,"New York Times. Jul 4, 1963",,,,,,,,1,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1641
1642,Iraq,645,,1963,7,3,"New York Times. Jul 4, 1963",,,,,,,,1,,,1,,,,0,0,1,0,0,0,0,0,0,0,0,1642
1643,Iraq,645,,1963,11,-9,New York Times. various,,,,,,,2,1,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1643
1644,Iraq,645,,1963,11,-9,New York Times. various,,,,,,,2,2,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1644
1645,Iraq,645,,1963,11,13,"New York Times. Nov 14, 1963",,,,,,,,1,,,1,,,1,0,0,1,0,0,0,0,0,0,0,0,1645
1646,Iraq,645,,1963,11,14,"New York Times. Nov 14, 1963",,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,1646
1647,Iraq,645,,1963,11,16,"New York Times. Nov 18, 1963",,,,,,,,,,,,,,2,1,0,0,0,0,0,0,0,0,0,0,1647
1648,Iraq,645,2,1963,11,18,"New York Times. Nov 18, 1963",,2,,,,,2,2,,,2,,,2,0,0,0,0,0,0,0,0,0,0,0,1648
1739,Syria,652,,1963,-9,-9,unclear,,,2,2,,1,,,1,2,,,,,0,0,0,0,0,0,0,0,0,0,1,1739
1740,Syria,652,,1963,-9,-9,unclear,,,2,2,,1,,,2,2,,,,,0,0,0,0,0,0,0,0,0,0,1,1740
1741,Syria,652,,1963,1,-9,"New York Times. Jan 16, 1963",,,,,,,,1,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1741
1742,Syria,652,,1963,3,-9,"New York Times. Mar 9, 1963",,,,,,,2,2,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1742
1743,Syria,652,2,1963,3,8,"New York Times. Mar 9, 1963",,2,,,,,2,2,,,2,2,,2,0,0,0,0,0,0,0,0,0,0,0,1743
1744,Syria,652,,1963,3,9,"New York Times. Mar 9, 1963",,,,,,,,,,,,,,2,1,0,0,0,0,0,0,0,0,0,0,1744
1745,Syria,652,,1963,5,12,"New York Times. May 12, 1963",,,,,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,0,0,1745
1746,Syria,652,,1963,7,-9,"New York Times. Jul 19, 1963",,,,,,,,1,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1746
1747,Syria,652,,1963,7,-9,"New York Times. Jul 19, 1963",,,,,,,,2,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1747
1748,Syria,652,1,1963,7,18,"New York Times. Jul 19, 1963",,,,,,,,1,,,1,,,1,0,0,0,0,0,0,0,0,0,0,0,1748
1749,Syria,652,,1963,7,19,"New York Times. Jul 19, 1963",,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,1749
1798,Yemen Arab Republic; N. Yemen,678,,1963,1,28,"New York Times. Jan 28, 1963",,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0,1798
1904,South Korea,732,,1963,3,-9,New York Times. various,,,,,,,,1,,,,,,,0,0,0,0,0,0,1,0,0,0,0,1904
2045,Laos,812,,1963,-9,-9,New York Times. various,,,,,,1,,,1,,,,,,0,0,1,0,0,0,0,0,0,0,0,2045
2075,Republic of Vietnam,817,,1963,-9,-9,"New York Times. Nov 2, 1963",,,2,2,,2,,,2,2,,,,,1,0,0,0,0,0,0,0,0,0,0,2075
2076,Republic of Vietnam,817,,1963,11,-9,"New York Times. Nov 2, 1963",,,,,,,,2,,,,,,,1,0,0,0,0,0,0,0,0,0,0,2076
2077,Republic of Vietnam,817,2,1963,11,1,"New York Times. Nov 2, 1963",,2,2,2,,2,,2,2,2,2,2,,2,0,0,0,0,0,0,0,0,0,0,0,2077
2078,Republic of Vietnam,817,,1963,11,2,"New York Times. Nov 2, 1963",,,,,,,,,,,,,,2,1,0,0,0,0,0,0,0,0,0,0,2078
42,Haiti,41,,1964,4,1,"New York Times. Apr 2, 1964",,,,,2,,,,,,,,,2,0,0,0,0,0,0,0,1,0,0,0,42
43,Haiti,41,,1964,4,2,"New York Times. Apr 2, 1964",,,,,,,,,,,,,,2,1,0,0,0,0,0,0,0,0,0,0,43
234,Nicaragua,93,,1964,9,25,"New York Times. Sep 25, 26, 1964",,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0,234
464,Brazil,140,,1964,-9,-9,unclear,,,2,2,,2,,,2,2,,,,,0,0,0,0,0,0,0,0,0,0,1,464
465,Brazil,140,,1964,3,-9,"New York Times. April 5, 1964",,,,,,,2,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,465
466,Brazil,140,2,1964,3,30,"New York Times. April 5, 1964",,,,,,,2,,,,2,,,,0,0,0,0,0,0,0,0,0,0,0,466
467,Brazil,140,,1964,4,-9,"New York Times. April 5, 1964",,,,,,,,2,,,,,,,1,0,0,0,0,0,0,0,0,0,0,467
468,Brazil,140,2,1964,4,1,"New York Times. April 5, 1964",,2,,,2,,,2,,,,2,,2,0,0,0,0,0,0,0,0,0,0,0,468
469,Brazil,140,,1964,4,3,"New York Times. April 5, 1964",,,,,,,,,,,,,,2,1,0,0,0,0,0,0,0,0,0,0,469
507,Bolivia,145,,1964,-9,-9,"New York Times. Nov 4, 1964.",,,2,2,,2,,,2,2,,,,,1,0,0,0,0,0,0,0,0,0,0,507
508,Bolivia,145,,1964,11,-9,"New York Times. Nov 4, 1964.",,,,,,,2,2,,,,,,,1,0,0,0,0,0,0,0,0,0,0,508
509,Bolivia,145,2,1964,11,3,"New York Times. Nov 4, 1964.",,2,2,2,2,2,2,2,2,2,2,2,,2,0,0,0,0,0,0,0,0,0,0,0,509
510,Bolivia,145,,1964,11,4,"New York Times. Nov 4, 1964.",,2,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,510
511,Bolivia,145,,1964,11,5,"New York Times. Nov 4, 1964.",,,,,,,,,,,,,,2,1,0,0,0,0,0,0,0,0,0,0,511
692,Uruguay,165,,1964,1,27,"New York Times. Jan 20, 1964",,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0,692
742,Cyprus,352,,1964,4,21,"New York Times. Apr 22, 1964",,,,,,,,,,,,,,2,0,0,0,0,1,0,0,0,0,0,0,742
826,Benin,434,,1964,3,16,"New York Times. Mar 16, 1964",,,,,,,,,,,,,,1,0,0,1,0,0,0,0,0,0,0,0,826
889,Niger,436,,1964,10,15,"New York Times. Oct 15, 1964",,,,,,,,,,,,,,1,0,0,1,0,0,0,0,0,0,0,0,889
1018,Ghana,452,,1964,-9,-9,"New York Times. Jun 3, 1964",,,2,2,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1018
1019,Ghana,452,,1964,1,2,"New York Times. Jun 3, 1964",1,,2,2,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1019
1060,Togo,461,,1964,7,4,none,,1,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,1060
1116,Gabon,481,,1964,-9,-9,"New York Times. Feb 20, 1964",,,2,2,,1,,,1,,,,,,1,0,0,0,0,0,0,0,0,0,0,1116
1117,Gabon,481,,1964,-9,-9,"New York Times. Feb 20, 1964",,,2,2,,1,,,1,,,,,,1,0,0,0,0,0,0,0,0,0,0,1117
1118,Gabon,481,,1964,2,-9,"New York Times. Feb 20, 1964",,,,,,,,1,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1118
1119,Gabon,481,1,1964,2,17,"New York Times. Feb 20, 1964",1,1,2,2,,1,,1,1,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1119
1120,Gabon,481,,1964,2,18,"New York Times. Feb 20, 1964",,1,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,1120
1121,Gabon,481,,1964,2,19,"New York Times. Feb 20, 1964",,,,,,,,,,,,,,2,1,0,0,0,0,0,0,0,0,0,0,1121
1122,Gabon,481,,1964,2,21,"New York Times. Feb 20, 1964",,,,,,,,,,,,,,2,1,0,0,0,0,0,0,0,0,0,0,1122
1239,Democratic Republic of the Congo,490,,1964,8,15,"New York Times. Aug 16, 1964",,,,,,,,,,,,,1,,0,0,1,0,0,0,0,0,0,0,0,1239
1252,Uganda,500,,1964,-9,-9,Bienen 1968; Parsons 2003,,,1,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1252
1253,Uganda,500,,1964,1,-9,Bienen 1968; Parsons 2003,,,,,,,,1,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1253
1254,Uganda,500,,1964,1,23,Bienen 1968; Parsons 2003,,,1,,,,,1,,,,1,,1,0,0,0,0,0,1,0,0,0,0,0,1254
1292,Kenya,501,,1964,1,-9,Bienen 1968; Parsons 2003,,,,,,,,1,,,,,,,0,0,1,0,0,0,0,0,0,0,0,1292
1296,Tanzania,510,,1964,-9,-9,"Parsons (2003, 4)",,,1,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1296
1297,Tanzania,510,,1964,1,-9,"Parsons (2003, 4)",,,,,,,,1,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1297
1298,Tanzania,510,,1964,1,19,"Parsons (2003, 4)",,1,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1298
1299,Tanzania,510,,1964,1,20,"Parsons (2003, 4)",1,1,1,,,,,1,,,,1,,,0,0,1,0,0,0,0,0,0,0,0,1299
1497,Algeria,615,,1964,6,-9,"New York Times. Jul 2, 1964",,,,,,,,1,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1497
1498,Algeria,615,1,1964,6,30,"New York Times. Jul 2, 1964",,,,,,,,1,,,1,,,,0,0,0,0,0,0,0,0,0,0,0,1498
1541,Sudan,625,,1964,-9,-9,"New York Times. Oct 31, 1964",,,,,,2,,,2,,,,,,1,0,0,0,0,0,0,0,0,0,0,1541
1542,Sudan,625,,1964,10,-9,"New York Times. Oct 31, 1964",,,,,,,,2,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1542
1543,Sudan,625,,1964,10,26,"New York Times. Oct 31, 1964",,,,,,2,,2,2,,2,,,,0,0,0,0,0,0,1,0,0,0,0,1543
1544,Sudan,625,,1964,10,30,New York Times. various,,,,,,,,,,,,,,2,0,0,0,0,0,0,1,0,0,0,0,1544
1545,Sudan,625,,1964,11,16,"New York Times. Nov 16, 1964",,,,,,,,,,,,,,2,0,0,0,0,1,0,0,0,0,0,0,1545
1649,Iraq,645,,1964,9,-9,"Simons (1994). 'iraq: from sumer to saddam', p. 276",,,,,,,,1,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1649
1650,Iraq,645,,1964,9,5,"Simons (1994). 'iraq: from sumer to saddam', p. 276",,1,,,,,,1,,,,,,,0,0,0,1,0,0,0,0,0,0,0,1650
1651,Iraq,645,,1964,9,12,none,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,1651
1706,Egypt,651,,1964,-9,-9,none,,,,,,,,1,,,,,,,0,1,0,0,0,0,0,0,0,0,0,1706
1750,Syria,652,,1964,4,16,"New York Times. Apr 16, 17, 1964",,,,,,,,,,,,,,1,0,0,1,0,0,0,0,0,0,0,0,1750
1953,Myanmar,775,,1964,2,-9,"New York Times. Feb 23, 1964",,,,,,,,2,,,,,,,0,0,1,0,0,0,0,0,0,0,0,1953
2046,Laos,812,,1964,-9,-9,"New York Times. Apr 19, 1964",,,2,2,,,,,2,,,,,,1,0,0,0,0,0,0,0,0,0,0,2046
2047,Laos,812,,1964,4,-9,"New York Times. Apr 19, 1964",,,,,,,,1,,,,,,,1,0,0,0,0,0,0,0,0,0,0,2047
2048,Laos,812,2,1964,4,19,"New York Times. Apr 19, 1964",,2,2,2,,,,1,2,,,2,,2,0,0,0,0,0,0,0,0,0,0,0,2048
2079,Republic of Vietnam,817,,1964,-9,-9,unclear,,,2,2,,1,,,1,2,,,,,0,0,0,0,0,0,0,0,0,0,1,2079
2080,Republic of Vietnam,817,,1964,1,-9,"New York Times. Jan 30, 1964",,,,,,,,2,,,,,,,1,0,0,0,0,0,0,0,0,0,0,2080
2081,Republic of Vietnam,817,2,1964,1,30,"New York Times. Jan 30, 1964",,2,,,,,,2,,,2,,,2,0,0,0,0,0,0,0,0,0,0,0,2081
2082,Republic of Vietnam,817,1,1964,9,13,"New York Times. Sep 13, 1964",,1,,,,,,,,,1,,,1,0,0,0,0,0,0,0,0,0,0,0,2082
2083,Republic of Vietnam,817,,1964,9,14,"New York Times. Sep 13, 1964",,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,2083
2084,Republic of Vietnam,817,,1964,12,19,"New York Times. Dec 20, 1964",,,,,,,,,,,2,,,2,0,0,0,0,0,1,0,0,0,0,0,2084
2085,Republic of Vietnam,817,,1964,12,20,"New York Times. Dec 20, 1964",,,,,,,,,,,,,,2,1,0,0,0,0,0,0,0,0,0,0,2085
84,Dominican Republic,42,,1965,-9,-9,"New York Times. 04/26, 11/24 or 11/23, 1965",,,1,2,1,,,,,2,,,,,1,0,0,0,0,0,0,0,0,0,0,84
85,Dominican Republic,42,,1965,4,-9,"New York Times. 04/26, 11/24 or 11/23, 1965",,,,,,,2,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,85
86,Dominican Republic,42,2,1965,4,25,"New York Times. Apr 26, 1965",,,,2,2,,2,,,2,,,,,0,0,0,0,0,0,0,0,0,0,0,86
87,Dominican Republic,42,,1965,4,26,"New York Times. Apr 26, 1965",,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,87
88,Dominican Republic,42,,1965,4,29,"New York Times. Apr 26, 1965",,,,,,,,,,,,,,2,1,0,0,0,0,0,0,0,0,0,0,88
89,Dominican Republic,42,1,1965,11,22,"New York Times. Nov 24, 1965. Nov 23, 1965",,1,1,,1,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,89
90,Dominican Republic,42,,1965,11,23,"New York Times. Nov 24, 1965. Nov 23, 1965",,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,90
301,Colombia,100,,1965,5,-9,New York Times. various,,,,,,,,2,,,,,,,0,0,0,0,0,0,1,0,0,0,0,301
399,Ecuador,130,,1965,4,25,none,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,399
512,Bolivia,145,,1965,1,4,"New York Times. Jan 4, 1965",,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0,512
513,Bolivia,145,,1965,5,-9,"New York Times. May 9&18&23&27, 1965",,,,,,,,2,,,,,,,0,0,0,0,0,0,1,0,0,0,0,513
827,Benin,434,,1965,-9,-9,"New York Times. Dec 23, 1965.",,,2,2,,2,,,2,2,,2,,,1,0,0,0,0,0,0,0,0,0,0,827
828,Benin,434,,1965,-9,-9,"New York Times. Nov 28, 30 1965",,,2,2,,2,,,2,2,,2,,,1,0,0,0,0,0,0,0,0,0,0,828
829,Benin,434,,1965,10,-9,none,,,,,,,,2,,,,,,,0,1,0,0,0,0,0,0,0,0,0,829
830,Benin,434,,1965,11,-9,"New York Times. Nov 28, 30 1965",,,,,,,2,2,,,,,,,1,0,0,0,0,0,0,0,0,0,0,830
